Car ID,Date,Company,Model,Engine,Transmission,Body Style,Color,Price
1,1/2/2022,Ford,Expedition,DoubleÂ Overhead Camshaft,Auto,SUV,Black,26000
2,1/2/2022,Dodge,Durango,DoubleÂ Overhead Camshaft,Auto,SUV,Black,19000
3,1/2/2022,Cadillac,Eldorado,Overhead Camshaft,Manual,Passenger,Red,31500
4,1/2/2022,Toyota,Celica,Overhead Camshaft,Manual,SUV,Pale White,14000
5,1/2/2022,Acura,TL,DoubleÂ Overhead Camshaft,Auto,Hatchback,Red,24500
6,1/2/2022,Mitsubishi,Diamante,Overhead Camshaft,Manual,Hatchback,Pale White,12000
7,1/2/2022,Toyota,Corolla,Overhead Camshaft,Manual,Passenger,Pale White,14000
8,1/2/2022,Mitsubishi,Galant,DoubleÂ Overhead Camshaft,Auto,Passenger,Pale White,42000
9,1/2/2022,Chevrolet,Malibu,Overhead Camshaft,Manual,Hardtop,Pale White,82000
10,1/2/2022,Ford,Escort,DoubleÂ Overhead Camshaft,Auto,Passenger,Pale White,15000
11,1/2/2022,Acura,RL,Overhead Camshaft,Manual,SUV,Pale White,31000
12,1/2/2022,Nissan,Pathfinder,DoubleÂ Overhead Camshaft,Auto,Hardtop,Pale White,46000
13,1/2/2022,Mercury,Grand Marquis,DoubleÂ Overhead Camshaft,Auto,SUV,Black,9000
14,1/2/2022,BMW,323i,DoubleÂ Overhead Camshaft,Auto,Hatchback,Pale White,15000
15,1/2/2022,Chrysler,Sebring Coupe,Overhead Camshaft,Manual,Sedan,Pale White,26000
16,1/2/2022,Subaru,Forester,Overhead Camshaft,Manual,Hatchback,Pale White,17000
17,1/2/2022,Hyundai,Accent,Overhead Camshaft,Manual,Hatchback,Black,18000
18,1/2/2022,Cadillac,Eldorado,DoubleÂ Overhead Camshaft,Auto,Passenger,Pale White,31000
19,1/2/2022,Toyota,Land Cruiser,DoubleÂ Overhead Camshaft,Auto,SUV,Pale White,33000
20,1/2/2022,Honda,Accord,DoubleÂ Overhead Camshaft,Auto,Sedan,Pale White,21000
21,1/2/2022,Toyota,4Runner,Overhead Camshaft,Manual,Sedan,Black,25000
22,1/2/2022,Infiniti,I30,DoubleÂ Overhead Camshaft,Auto,Hardtop,Black,21000
23,1/2/2022,Audi,A4,Overhead Camshaft,Manual,Hardtop,Pale White,12000
24,1/2/2022,Porsche,Carrera Cabrio,DoubleÂ Overhead Camshaft,Auto,Passenger,Pale White,18000
25,1/2/2022,Volkswagen,Jetta,DoubleÂ Overhead Camshaft,Auto,Passenger,Pale White,22000
26,1/2/2022,Dodge,Viper,DoubleÂ Overhead Camshaft,Auto,SUV,Pale White,31250
27,1/2/2022,Buick,Regal,DoubleÂ Overhead Camshaft,Auto,Passenger,Black,19000
28,1/2/2022,Chrysler,LHS,Overhead Camshaft,Manual,Hatchback,Pale White,41000
29,1/2/2022,Chrysler,LHS,Overhead Camshaft,Manual,Hatchback,Pale White,41000
30,1/2/2022,Saturn,LW,Overhead Camshaft,Manual,Hatchback,Pale White,13000
31,1/2/2022,Mitsubishi,3000GT,Overhead Camshaft,Manual,Sedan,Pale White,20000
32,1/2/2022,Mercedes-B,SLK230,Overhead Camshaft,Manual,Hatchback,Pale White,14000
33,1/2/2022,Honda,Accord,DoubleÂ Overhead Camshaft,Auto,Sedan,Pale White,19000
34,1/2/2022,Honda,Civic,Overhead Camshaft,Manual,Hatchback,Black,43000
35,1/2/2022,Jaguar,S-Type,DoubleÂ Overhead Camshaft,Auto,Passenger,Black,16000
36,1/3/2022,Volvo,S40,DoubleÂ Overhead Camshaft,Auto,Sedan,Pale White,42000
37,1/3/2022,Mercury,Mountaineer,DoubleÂ Overhead Camshaft,Auto,SUV,Pale White,21000
38,1/3/2022,Buick,Park Avenue,DoubleÂ Overhead Camshaft,Auto,Hatchback,Black,61000
39,1/3/2022,Mitsubishi,Montero Sport,DoubleÂ Overhead Camshaft,Auto,SUV,Pale White,39000
40,1/3/2022,Nissan,Sentra,DoubleÂ Overhead Camshaft,Auto,Passenger,Black,16000
41,1/3/2022,Chrysler,Sebring Coupe,Overhead Camshaft,Manual,Sedan,Pale White,26000
42,1/3/2022,Volvo,S80,Overhead Camshaft,Manual,Sedan,Pale White,21000
43,1/3/2022,Chevrolet,Lumina,Overhead Camshaft,Manual,Passenger,Black,42500
44,1/3/2022,Mitsubishi,Montero Sport,DoubleÂ Overhead Camshaft,Auto,Hatchback,Black,45001
45,1/3/2022,Pontiac,Bonneville,Overhead Camshaft,Manual,Hatchback,Black,36001
46,1/3/2022,Mercedes-B,C-Class,Overhead Camshaft,Manual,Hatchback,Pale White,12000
47,1/3/2022,BMW,323i,Overhead Camshaft,Manual,Hatchback,Pale White,21001
48,1/3/2022,Acura,TL,DoubleÂ Overhead Camshaft,Auto,Hatchback,Pale White,29000
49,1/3/2022,Nissan,Altima,DoubleÂ Overhead Camshaft,Auto,Hatchback,Pale White,20000
50,1/3/2022,Cadillac,DeVille,DoubleÂ Overhead Camshaft,Auto,SUV,Pale White,22000
51,1/3/2022,Dodge,Stratus,DoubleÂ Overhead Camshaft,Auto,Hatchback,Pale White,31000
52,1/3/2022,Audi,A4,DoubleÂ Overhead Camshaft,Auto,Hardtop,Black,27000
53,1/3/2022,Mercury,Cougar,DoubleÂ Overhead Camshaft,Auto,Hatchback,Black,33000
54,1/3/2022,Chevrolet,Malibu,Overhead Camshaft,Manual,Hardtop,Pale White,14000
55,1/3/2022,Acura,RL,Overhead Camshaft,Manual,SUV,Pale White,17000
56,1/4/2022,Saturn,SW,DoubleÂ Overhead Camshaft,Auto,Passenger,Pale White,25600
57,1/4/2022,Volvo,C70,Overhead Camshaft,Manual,Hatchback,Black,17000
58,1/4/2022,Mercury,Mountaineer,Overhead Camshaft,Manual,SUV,Pale White,21000
59,1/4/2022,Mercedes-B,C-Class,Overhead Camshaft,Manual,Hatchback,Pale White,12000
60,1/4/2022,Mercedes-B,SLK,Overhead Camshaft,Manual,Passenger,Pale White,17000
61,1/4/2022,Toyota,Tacoma,Overhead Camshaft,Manual,Hardtop,Black,36000
62,1/4/2022,Mercedes-B,C-Class,Overhead Camshaft,Manual,Hatchback,Pale White,17000
63,1/4/2022,Mercedes-B,M-Class,Overhead Camshaft,Manual,Hatchback,Pale White,41000
64,1/4/2022,Audi,A6,DoubleÂ Overhead Camshaft,Auto,SUV,Black,14000
65,1/4/2022,Dodge,Intrepid,DoubleÂ Overhead Camshaft,Auto,Sedan,Pale White,31100
66,1/4/2022,Buick,Park Avenue,DoubleÂ Overhead Camshaft,Auto,Hatchback,Black,61000
67,1/4/2022,Dodge,Viper,Overhead Camshaft,Manual,SUV,Black,26000
68,1/4/2022,Toyota,Sienna,Overhead Camshaft,Manual,Passenger,Black,12000
69,1/4/2022,Volvo,S40,DoubleÂ Overhead Camshaft,Auto,Sedan,Pale White,42000
70,1/4/2022,Mitsubishi,Diamante,DoubleÂ Overhead Camshaft,Auto,Hatchback,Pale White,21000
71,1/5/2022,Cadillac,DeVille,DoubleÂ Overhead Camshaft,Auto,SUV,Pale White,22600
72,1/5/2022,Jaguar,S-Type,Overhead Camshaft,Manual,Passenger,Pale White,45000
73,1/5/2022,Mitsubishi,Eclipse,Overhead Camshaft,Manual,SUV,Black,25000
74,1/5/2022,Ford,Contour,DoubleÂ Overhead Camshaft,Auto,Sedan,Pale White,62000
75,1/5/2022,Volkswagen,Jetta,DoubleÂ Overhead Camshaft,Auto,Passenger,Black,22700
76,1/5/2022,Mitsubishi,Montero Sport,DoubleÂ Overhead Camshaft,Auto,SUV,Black,45000
77,1/5/2022,Lincoln,Town car,Overhead Camshaft,Manual,Hatchback,Black,17000
78,1/5/2022,Ford,Focus,Overhead Camshaft,Manual,Hardtop,Black,49000
79,1/5/2022,Audi,A6,Overhead Camshaft,Manual,SUV,Black,15000
80,1/5/2022,Acura,TL,DoubleÂ Overhead Camshaft,Auto,Hatchback,Black,28000
81,1/5/2022,Nissan,Pathfinder,DoubleÂ Overhead Camshaft,Auto,Hardtop,Pale White,46000
82,1/5/2022,Ford,Mustang,Overhead Camshaft,Manual,Hatchback,Pale White,43000
83,1/5/2022,Oldsmobile,Cutlass,DoubleÂ Overhead Camshaft,Auto,Sedan,Pale White,41000
84,1/5/2022,Chevrolet,Corvette,DoubleÂ Overhead Camshaft,Auto,SUV,Pale White,45000
85,1/5/2022,Chevrolet,Impala,Overhead Camshaft,Manual,Hatchback,Pale White,22001
86,1/5/2022,Volkswagen,Cabrio,Overhead Camshaft,Manual,Sedan,Pale White,25001
87,1/5/2022,Dodge,Dakota,Overhead Camshaft,Manual,Sedan,Pale White,12800
88,1/5/2022,Chrysler,300M,DoubleÂ Overhead Camshaft,Auto,SUV,Black,26000
89,1/5/2022,BMW,328i,DoubleÂ Overhead Camshaft,Auto,Sedan,Black,18000
90,1/5/2022,Oldsmobile,Bravada,DoubleÂ Overhead Camshaft,Auto,Hatchback,Pale White,19000
91,1/5/2022,Nissan,Maxima,Overhead Camshaft,Manual,Sedan,Pale White,22500
92,1/5/2022,Dodge,Ram Pickup,Overhead Camshaft,Manual,Hardtop,Pale White,21001
