Sales ID,Dealer Name,Dealer Region,Dealer Number
1,Buddy Storbeck's Diesel Service Inc,Middletown,06457-3834
2,C & M Motors Inc,Aurora,60504-7114
3,Capitol KIA,Greenville,38701-8047
4,Chrysler of Tri-Cities,Pasco,99301-3882
5,Chrysler Plymouth,Janesville,53546-9427
6,Classic Chevy,Scottsdale,85257-3102
7,Clay Johnson Auto Sales,Austin,78758-7841
8,U-Haul CO,Austin,78758-7841
9,Rabun Used Car Sales,Pasco,85257-3102
10,Rabun Used Car Sales,Scottsdale,85257-3102
11,Race Car Help,Austin,78758-7841
12,Race Car Help,Pasco,78758-7841
13,Saab-Belle Dodge,Aurora,60504-7114
14,Scrivener Performance Engineering,Greenville,38701-8047
15,Buddy Storbeck's Diesel Service Inc,Middletown,06457-3834
16,C & M Motors Inc,Aurora,60504-7114
17,Capitol KIA,Greenville,38701-8047
18,Chrysler of Tri-Cities,Pasco,99301-3882
19,Chrysler Plymouth,Janesville,53546-9427
20,Classic Chevy,Scottsdale,85257-3102
21,Clay Johnson Auto Sales,Austin,78758-7841
22,Classic Chevy,Austin,85257-3102
23,Diehl Motor CO Inc,Middletown,06457-3834
24,Star Enterprises Inc,Pasco,99301-3882
25,Suburban Ford,Janesville,53546-9427
26,Tri-State Mack Inc,Scottsdale,85257-3102
27,U-Haul CO,Austin,78758-7841
28,Progressive Shippers Cooperative Association No,Janesville,53546-9427
29,Race Car Help,Janesville,78758-7841
30,Ryder Truck Rental and Leasing,Scottsdale,06457-3834
31,Saab-Belle Dodge,Austin,60504-7114
32,Scrivener Performance Engineering,Middletown,38701-8047
33,Star Enterprises Inc,Aurora,99301-3882
34,Tri-State Mack Inc,Greenville,85257-3102
35,U-Haul CO,Pasco,78758-7841
36,Diehl Motor CO Inc,Middletown,06457-3834
37,Enterprise Rent A Car,Aurora,60504-7114
38,Gartner Buick Hyundai Saab,Greenville,38701-8047
39,Hatfield Volkswagen,Pasco,99301-3882
40,Star Enterprises Inc,Pasco,99301-3882
41,Suburban Ford,Janesville,53546-9427
42,Tri-State Mack Inc,Scottsdale,85257-3102
43,U-Haul CO,Austin,78758-7841
44,Diehl Motor CO Inc,Middletown,06457-3834
45,Enterprise Rent A Car,Aurora,60504-7114
46,Gartner Buick Hyundai Saab,Greenville,38701-8047
47,Hatfield Volkswagen,Pasco,99301-3882
48,Rabun Used Car Sales,Scottsdale,85257-3102
49,Race Car Help,Austin,78758-7841
50,Ryder Truck Rental and Leasing,Middletown,06457-3834
51,Saab-Belle Dodge,Aurora,60504-7114
52,Progressive Shippers Cooperative Association No,Austin,53546-9427
53,C & M Motors Inc,Scottsdale,60504-7114
54,Scrivener Performance Engineering,Middletown,38701-8047
55,Chrysler of Tri-Cities,Middletown,99301-3882
56,Iceberg Rentals,Janesville,53546-9427
57,McKinney Dodge Chrysler Jeep,Scottsdale,85257-3102
58,Motor Vehicle Branch Office,Austin,78758-7841
59,Buddy Storbeck's Diesel Service Inc,Middletown,06457-3834
60,C & M Motors Inc,Aurora,60504-7114
61,Ryder Truck Rental and Leasing,Janesville,06457-3834
62,Iceberg Rentals,Janesville,53546-9427
63,McKinney Dodge Chrysler Jeep,Austin,85257-3102
64,Nebo Chevrolet,Middletown,06457-3834
65,Scrivener Performance Engineering,Greenville,38701-8047
66,Star Enterprises Inc,Pasco,99301-3882
67,Suburban Ford,Janesville,53546-9427
68,Chrysler Plymouth,Aurora,53546-9427
